record_id,customer_id,subscription_id,subscription_plan,plan_category,subscription_start_date,subscription_end_date,billing_cycle,subscription_fee,discount_percent,tax_amount,final_amount_paid,payment_status,payment_method,auto_renew,renewal_count,subscription_status,feature_id,module_name,feature_name,feature_category,first_feature_used,usage_date,usage_count,active_days,session_duration_minutes,average_session_duration,feature_adoption_rate,adoption_stage,engagement_score,feature_success,error_count,device_type,login_location,ticket_id,ticket_created_date,first_response_minutes,ticket_closed_date,issue_category,priority,ticket_status,resolution_time_hours,sla_breached,assigned_team,customer_satisfaction,ticket_channel,product_version,release_cycle,churn_risk,monthly_active_user,weekly_active_user
REC000001,CUST000001,SUB000001,Growth,Standard,2023-05-18,2023-06-17,Monthly,299,0,53.82,352.82,Paid,Bank Transfer,Yes,2,Active,F0001,Reporting,Forecasting,AI,Reports,2023-06-04,201,19,554,554,80.4,Power User,89,Success,3,Mobile,Germany,TKT000001,2023-06-13 00:00:00,31,2023-06-13 22:00:00,Login,Low,Pending,22,Yes,Support,3.9,Phone,v3.0,LTS,Medium,No,No
REC000002,CUST000002,SUB000002,Growth,Standard,2024-03-04,2024-04-03,Quarterly,299,15,45.75,299.9,Paid,PayPal,No,8,Active,F0172,Reporting,SSO,AI,Dashboard,2024-09-13,201,24,554,69.2,80.4,Power User,100,Success,4,Tablet,India,TKT000002,2024-08-12 00:00:00,129,2024-08-12 03:00:00,Technical,Medium,Resolved,3,No,Customer Success,3.8,Email,v3.0,Beta,Medium,No,Yes
REC000003,CUST000003,SUB000003,Growth,Standard,2023-10-28,2023-11-27,Quarterly,299,5,51.13,335.18,Failed,UPI,No,2,Active,F0040,Integrations,Reports,Premium,Dashboard,2023-10-30,217,17,605,100.8,86.8,Power User,100,Success,1,Mobile,USA,TKT000003,2023-11-27 00:00:00,10,2023-11-30 11:00:00,Technical,High,Resolved,83,No,Customer Success,4.7,Email,v2.0,LTS,Low,Yes,No
REC000004,CUST000004,SUB000004,Growth,Standard,2023-02-12,2023-05-13,Quarterly,299,0,53.82,352.82,Paid,Bank Transfer,No,5,Active,F0007,Billing,Reports,Core,Invoice,2023-05-18,234,18,679,339.5,93.6,Power User,100,Success,1,Tablet,India,TKT000004,2023-07-27 00:00:00,165,2023-07-28 11:00:00,Login,Critical,Resolved,35,Yes,Billing,4.2,Portal,v2.2,Stable,Low,No,Yes
REC000005,CUST000005,SUB000005,Growth,Standard,2024-02-15,2025-02-14,Quarterly,299,5,51.13,335.18,Paid,Card,Yes,8,Active,F0084,Billing,SSO,AI,Forecasting,2024-07-03,103,22,258,32.2,41.2,Adopted,46,Failed,2,Desktop,Singapore,TKT000005,2024-10-02 00:00:00,92,2024-10-03 16:00:00,Login,High,Pending,40,Yes,Billing,4.8,Phone,v3.0,Stable,Low,Yes,Yes
REC000006,CUST000006,SUB000006,Growth,Standard,2023-04-13,2023-05-13,Quarterly,299,20,43.06,282.26,Paid,PayPal,Yes,4,Active,F0183,Integrations,SSO,Premium,Workflow,2023-08-19,54,22,149,24.8,21.6,Adopted,40,Success,5,Tablet,India,TKT000006,2024-01-11 00:00:00,158,2024-01-11 19:00:00,Integration,Critical,Resolved,19,Yes,Support,3.1,Phone,v3.0,Beta,Medium,No,No
REC000007,CUST000007,SUB000007,Growth,Standard,2023-04-21,2023-07-20,Quarterly,299,10,48.44,317.54,Paid,UPI,No,5,Active,F0018,AI Assistant,Forecasting,Premium,SSO,2023-05-05,92,14,262,87.3,36.8,Adopted,29,Failed,6,Desktop,Singapore,TKT000007,2023-10-30 00:00:00,104,2023-11-01 18:00:00,Technical,Low,Closed,66,No,Engineering,3.5,Portal,v2.2,Beta,Medium,No,Yes
REC000008,CUST000008,SUB000008,Growth,Standard,2023-09-14,2024-09-13,Annual,299,15,45.75,299.9,Paid,UPI,No,5,Active,F0229,Automation,Dashboard,Premium,Copilot,2024-03-12,236,15,676,676,94.4,Power User,100,Success,2,Mobile,Germany,TKT000008,2023-11-20 00:00:00,63,2023-11-22 15:00:00,Login,High,Resolved,63,Yes,Customer Success,4.6,Phone,v3.0,Stable,Low,Yes,No
REC000009,CUST000009,SUB000009,Growth,Standard,2023-04-12,2023-05-12,Monthly,299,5,51.13,335.18,Paid,Bank Transfer,Yes,8,Active,F0241,Analytics,Reports,Premium,API,2023-05-10,73,16,170,42.5,29.2,Adopted,28,Success,7,Tablet,Germany,TKT000009,2023-09-03 00:00:00,172,2023-09-05 21:00:00,Feature Request,High,Pending,69,No,Engineering,2.9,Chat,v2.1,Stable,High,Yes,Yes
REC000010,CUST000010,SUB000010,Growth,Standard,2023-02-07,2023-05-08,Quarterly,299,5,51.13,335.18,Pending,Bank Transfer,Yes,4,Active,F0172,Security,Workflow,AI,Dashboard,2023-08-17,242,19,697,116.2,96.8,Power User,100,Failed,1,Desktop,Germany,TKT000010,2023-09-18 00:00:00,62,2023-09-21 19:00:00,Feature Request,Medium,Closed,91,No,Engineering,5,Portal,v2.0,Beta,Low,Yes,No
