customer_id,customer_code,company_name,industry,company_size,customer_segment,employee_count,annual_revenue_usd,country,region,city,signup_date,first_login_date,last_login_date,login_count,customer_tenure_months,organization_age,account_manager_id,customer_status,customer_type
CUST000001,CC000001,Apex Technologies 1,Information Technology,SMB,SMB,213,2000000,India,South Asia,Hyderabad,2024-01-30,2024-02-03,2024-11-09,157,11,16,AM001,Active,B2B
CUST000002,CC000002,Vertex Technologies 2,Banking & Finance,SMB,SMB,223,2000000,USA,North America,Boston,2023-03-09,2023-03-09,2023-05-08,238,21,7,AM002,Active,B2B
CUST000003,CC000003,Nova Technologies 3,Healthcare,SMB,SMB,204,1000000,UK,Europe,Leeds,2022-07-23,2022-07-29,2023-04-10,618,29,30,AM003,Active,B2B
CUST000004,CC000004,BluePeak Technologies 4,Manufacturing,SMB,SMB,51,3000000,Canada,North America,Calgary,2023-03-09,2023-03-14,2024-01-22,235,21,11,AM004,Inactive,B2B
CUST000005,CC000005,Quantum Technologies 5,Retail,SMB,SMB,136,2000000,Germany,Europe,Berlin,2023-01-25,2023-01-26,2024-02-27,633,23,24,AM005,Active,B2B
CUST000006,CC000006,Prime Technologies 6,E-commerce,SMB,SMB,61,8000000,Singapore,Asia,Singapore,2023-01-23,2023-01-24,2024-09-10,864,23,20,AM006,Active,B2B
CUST000007,CC000007,Zenith Technologies 7,Education,SMB,SMB,142,4000000,Australia,Oceania,Perth,2022-03-13,2022-03-13,2022-12-01,96,33,20,AM007,Active,B2B
CUST000008,CC000008,Fusion Technologies 8,Logistics,SMB,SMB,75,7000000,Japan,Asia,Osaka,2023-04-10,2023-04-15,2023-10-28,378,20,25,AM008,Active,B2B
CUST000009,CC000009,Orbit Technologies 9,Telecommunications,SMB,SMB,118,2000000,France,Europe,Marseille,2023-10-13,2023-10-15,2024-12-31,182,14,17,AM009,Active,B2B
CUST000010,CC000010,Bright Technologies 10,Real Estate,SMB,SMB,119,4000000,UAE,Middle East,Abu Dhabi,2024-05-13,2024-05-13,2024-12-31,839,7,4,AM010,Active,B2B
CUST000011,CC000011,NextGen Technologies 11,Pharmaceuticals,SMB,SMB,118,2000000,India,South Asia,Bengaluru,2023-08-04,2023-08-09,2024-04-12,420,16,33,AM011,Active,B2B
CUST000012,CC000012,Alpha Technologies 12,Hospitality,SMB,SMB,214,8000000,USA,North America,Austin,2022-09-29,2022-10-01,2023-07-10,779,27,18,AM012,Active,B2B
CUST000013,CC000013,Vision Technologies 13,Insurance,SMB,SMB,199,7000000,UK,Europe,Manchester,2022-08-13,2022-08-15,2024-02-17,108,28,33,AM013,Active,B2B
CUST000014,CC000014,Core Technologies 14,Consulting,SMB,SMB,78,3000000,Canada,North America,Calgary,2022-06-13,2022-06-19,2024-03-20,409,30,6,AM014,Active,B2B
CUST000015,CC000015,Nexa Technologies 15,Media,SMB,SMB,169,5000000,Germany,Europe,Hamburg,2024-05-31,2024-05-31,2024-10-25,802,7,19,AM015,Active,B2B
CUST000016,CC000016,Skyline Technologies 16,Energy,SMB,SMB,78,5000000,Singapore,Asia,Singapore,2022-06-11,2022-06-18,2022-07-21,527,30,18,AM016,Active,B2B
CUST000017,CC000017,Pioneer Technologies 17,Automotive,SMB,SMB,179,2000000,Australia,Oceania,Perth,2022-11-02,2022-11-05,2023-05-10,795,25,25,AM017,Active,B2B
CUST000018,CC000018,Optima Technologies 18,Agriculture,SMB,SMB,249,1000000,Japan,Asia,Nagoya,2022-11-28,2022-12-05,2023-01-23,386,25,9,AM018,Active,B2B
